,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,Fail,default,1,DATA,1.0,nominal,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/JetHT_merged_CR.root,Fail,JetHT_merged,Data,,,,,,
169,MX3000_MY300,Fail,default,1,SIGNAL,1.0,lumi,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_nom_weight,MX3000_MY300,XtoHY,,,lnN,,,1.0190000000000001
170,MX3000_MY300,Fail,default,1,SIGNAL,1.0,RF,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_RF_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,RF,
171,MX3000_MY300,Fail,default,1,SIGNAL,1.0,RF,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_RF_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,RF,
172,MX3000_MY300,Fail,default,1,SIGNAL,1.0,R,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_R_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,R,
173,MX3000_MY300,Fail,default,1,SIGNAL,1.0,R,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_R_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,R,
174,MX3000_MY300,Fail,default,1,SIGNAL,1.0,btag,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_btag_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,btag,
175,MX3000_MY300,Fail,default,1,SIGNAL,1.0,btag,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_btag_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,btag,
176,MX3000_MY300,Fail,default,1,SIGNAL,1.0,pdf,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_pdf_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,pdf,
177,MX3000_MY300,Fail,default,1,SIGNAL,1.0,pdf,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_pdf_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,pdf,
178,MX3000_MY300,Fail,default,1,SIGNAL,1.0,pileup,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_pileup_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,pileup,
179,MX3000_MY300,Fail,default,1,SIGNAL,1.0,pileup,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_pileup_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,pileup,
180,MX3000_MY300,Fail,default,1,SIGNAL,1.0,prefire,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_prefire_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,prefire,
181,MX3000_MY300,Fail,default,1,SIGNAL,1.0,prefire,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_prefire_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,prefire,
182,MX3000_MY300,Fail,default,1,SIGNAL,1.0,F,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_F_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,F,
183,MX3000_MY300,Fail,default,1,SIGNAL,1.0,F,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_F_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,F,
184,MX3000_MY300,Fail,default,1,SIGNAL,1.0,PS_FSR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_PS_FSR_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,PS_FSR,
185,MX3000_MY300,Fail,default,1,SIGNAL,1.0,PS_FSR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_PS_FSR_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,PS_FSR,
186,MX3000_MY300,Fail,default,1,SIGNAL,1.0,PS_ISR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_PS_ISR_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,PS_ISR,
187,MX3000_MY300,Fail,default,1,SIGNAL,1.0,PS_ISR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_PS_ISR_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,PS_ISR,
188,MX3000_MY300,Fail,default,1,SIGNAL,1.0,JES,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_JES_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,JES,
189,MX3000_MY300,Fail,default,1,SIGNAL,1.0,JES,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_JES_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,JES,
190,MX3000_MY300,Fail,default,1,SIGNAL,1.0,JER,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_JER_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,JER,
191,MX3000_MY300,Fail,default,1,SIGNAL,1.0,JER,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_JER_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,JER,
192,MX3000_MY300,Fail,default,1,SIGNAL,1.0,JMS,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Fail_JMS_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,JMS,
